GRADUATE;GENDER;COLLEGE;SALARY;DEGREE;GRADDATE
33;Kobieta;Pedagogika;23000;Licencjat;Jesien 89
34;Mezczyzna;Administracja;25000;Licencjat;Jesien 89
35;Mezczyzna;Administracja;18200;Licencjat;Jesien 89
36;Mezczyzna;Inzynieria;25400;Licencjat;Jesien 89
37;Mezczyzna;Rolnictwo;24000;Licencjat;Jesien 89
38;Kobieta;Rolnictwo;20000;Licencjat;Jesien 89
39;Kobieta;Administracja;22000;Licencjat;Jesien 89
40;Kobieta;Inzynieria;32000;Licencjat;Jesien 89
41;Mezczyzna;Inzynieria;28200;Licencjat;Jesien 89
42;Mezczyzna;Rolnictwo;15000;Licencjat;Jesien 89
43;Kobieta;Rolnictwo;27000;Licencjat;Jesien 89
44;Mezczyzna;Administracja;30000;Licencjat;Jesien 89
45;Kobieta;Administracja;18800;Licencjat;Jesien 89
46;Kobieta;Administracja;21500;Licencjat;Jesien 89
47;Mezczyzna;Budownictwo;23000;Licencjat;Jesien 89
48;Kobieta;Inzynieria;25500;Licencjat;Jesien 89
49;Mezczyzna;Administracja;25000;Licencjat;Jesien 89
50;Kobieta;Rolnictwo;13500;Licencjat;Jesien 89
51;Mezczyzna;Administracja;23600;Licencjat;Jesien 89
52;Kobieta;Administracja;19000;Licencjat;Jesien 89
53;Mezczyzna;Inzynieria;30600;Licencjat;Jesien 89
54;Mezczyzna;Rolnictwo;27500;Licencjat;Jesien 89
55;Kobieta;Rolnictwo;26300;Licencjat;Jesien 89
56;Kobieta;Administracja;30000;Licencjat;Jesien 89
57;Mezczyzna;Administracja;24000;Licencjat;Jesien 89
58;Mezczyzna;Inzynieria;28000;Licencjat;Jesien 89
59;Mezczyzna;Inzynieria;27100;Licencjat;Jesien 89
60;Mezczyzna;Inzynieria;26400;Licencjat;Jesien 89
61;Kobieta;Rolnictwo;15000;Licencjat;Jesien 89
62;Kobieta;Rolnictwo;25000;Licencjat;Jesien 89
63;Mezczyzna;Rolnictwo;27000;Licencjat;Jesien 89
64;Mezczyzna;Administracja;24500;Licencjat;Jesien 89
65;Kobieta;Administracja;24500;Licencjat;Jesien 89
66;Mezczyzna;Rolnictwo;18300;Licencjat;Jesien 89
67;Mezczyzna;Inzynieria;24500;Licencjat;Jesien 89
68;Mezczyzna;Inzynieria;30100;Licencjat;Jesien 89
69;Kobieta;Administracja;25800;Licencjat;Jesien 89
70;Mezczyzna;Budownictwo;27300;Licencjat;Jesien 89
71;Kobieta;Administracja;19000;Licencjat;Jesien 89
72;Mezczyzna;Administracja;26500;Licencjat;Jesien 89
73;Mezczyzna;Inzynieria;32000;Licencjat;Jesien 89
74;Mezczyzna;Rolnictwo;20000;Licencjat;Jesien 89
75;Mezczyzna;Administracja;12500;Licencjat;Jesien 89
76;Kobieta;Rolnictwo;16000;Licencjat;Jesien 89
77;Kobieta;Rolnictwo;31600;Licencjat;Jesien 89
78;Mezczyzna;Budownictwo;30000;Licencjat;Jesien 89
79;Mezczyzna;Inzynieria;30600;Licencjat;Jesien 89
80;Mezczyzna;Inzynieria;31800;Licencjat;Jesien 89
81;Kobieta;Administracja;19000;Licencjat;Jesien 89
82;Kobieta;Administracja;22500;Licencjat;Jesien 89
83;Kobieta;Administracja;13000;Licencjat;Jesien 89
84;Mezczyzna;Rolnictwo;17000;Licencjat;Jesien 89
85;Kobieta;Rolnictwo;30400;Licencjat;Jesien 89
86;Mezczyzna;Budownictwo;28500;Licencjat;Jesien 89
87;Mezczyzna;Administracja;23000;Licencjat;Jesien 89
88;Mezczyzna;Administracja;25000;Licencjat;Jesien 89
89;Mezczyzna;Administracja;28000;Licencjat;Jesien 89
90;Kobieta;Pedagogika;35000;Licencjat;Jesien 89
91;Mezczyzna;Budownictwo;28600;Licencjat;Jesien 89
92;Kobieta;Leœnictwo;14500;Licencjat;Jesien 89
93;Mezczyzna;Administracja;23600;Licencjat;Jesien 89
94;Mezczyzna;Rolnictwo;32000;Licencjat;Jesien 89
95;Mezczyzna;Inzynieria;28400;Licencjat;Jesien 89
96;Mezczyzna;Inzynieria;31700;Licencjat;Jesien 89
97;Kobieta;Rolnictwo;32000;Licencjat;Jesien 89
98;Kobieta;Rolnictwo;20000;Licencjat;Jesien 89
99;Mezczyzna;Inzynieria;32400;Licencjat;Jesien 89
100;Kobieta;Administracja;19500;Licencjat;Jesien 89
101;Mezczyzna;Inzynieria;30000;Licencjat;Jesien 89
102;Mezczyzna;Administracja;25000;Licencjat;Jesien 89
103;Mezczyzna;Rolnictwo;29000;Licencjat;Jesien 89
104;Mezczyzna;Architektura;23000;Licencjat;Jesien 89
105;Mezczyzna;Budownictwo;28500;Licencjat;Jesien 89
106;Mezczyzna;Inzynieria;34300;Licencjat;Jesien 89
107;Kobieta;Inzynieria;26000;Licencjat;Jesien 89
108;Mezczyzna;Rolnictwo;17000;Licencjat;Jesien 89
109;Mezczyzna;Inzynieria;31000;Licencjat;Jesien 89
110;Kobieta;Rolnictwo;18700;Licencjat;Jesien 89
111;Kobieta;Rolnictwo;17000;Licencjat;Jesien 89
112;Kobieta;Inzynieria;32300;Licencjat;Jesien 89
113;Mezczyzna;Budownictwo;23000;Licencjat;Jesien 89
114;Kobieta;Rolnictwo;16000;Licencjat;Jesien 89
115;Mezczyzna;Administracja;27500;Licencjat;Jesien 89
116;Kobieta;Rolnictwo;23800;Licencjat;Jesien 89
117;Mezczyzna;Inzynieria;36000;Licencjat;Jesien 89
118;Mezczyzna;Rolnictwo;17400;Licencjat;Jesien 89
119;Mezczyzna;Inzynieria;22000;Licencjat;Jesien 89
120;Mezczyzna;Administracja;23500;Licencjat;Jesien 89
121;Mezczyzna;Inzynieria;35000;Licencjat;Jesien 89
122;Mezczyzna;Inzynieria;32600;Licencjat;Jesien 89
123;Mezczyzna;Inzynieria;25300;Licencjat;Jesien 89
124;Mezczyzna;Inzynieria;23000;Licencjat;Jesien 89
125;Mezczyzna;Pedagogika;19800;Licencjat;Jesien 89
126;Mezczyzna;Administracja;28500;Licencjat;Jesien 89
127;Mezczyzna;Rolnictwo;18000;Licencjat;Jesien 89
128;Mezczyzna;Administracja;27000;Licencjat;Jesien 89
129;Kobieta;Rolnictwo;22000;Licencjat;Jesien 89
130;Kobieta;Rolnictwo;24700;Licencjat;Jesien 89
131;Kobieta;Inzynieria;35400;Licencjat;Jesien 89
132;Mezczyzna;Inzynieria;33600;Licencjat;Jesien 89
133;Kobieta;Rolnictwo;19500;Licencjat;Jesien 89
134;Mezczyzna;Budownictwo;26000;Licencjat;Jesien 89
135;Mezczyzna;Rolnictwo;25000;Licencjat;Jesien 89
136;Mezczyzna;Administracja;27000;Licencjat;Jesien 89
137;Mezczyzna;Administracja;23500;Licencjat;Jesien 89
138;Mezczyzna;Rolnictwo;15000;Licencjat;Jesien 89
139;Kobieta;Rolnictwo;11000;Licencjat;Jesien 89
140;Mezczyzna;Rolnictwo;27000;Licencjat;Jesien 89
141;Mezczyzna;Inzynieria;25500;Licencjat;Jesien 89
142;Mezczyzna;Administracja;23000;Licencjat;Jesien 89
143;Kobieta;Administracja;23000;Licencjat;Jesien 89
144;Mezczyzna;Inzynieria;30800;Licencjat;Jesien 89
145;Mezczyzna;Leœnictwo;23500;Licencjat;Jesien 89
146;Mezczyzna;Architektura;22000;Licencjat;Jesien 89
147;Kobieta;Administracja;23000;Licencjat;Jesien 89
148;Mezczyzna;Rolnictwo;16500;Licencjat;Jesien 89
149;Mezczyzna;Rolnictwo;22100;Licencjat;Jesien 89
150;Mezczyzna;Inzynieria;36300;Licencjat;Jesien 89
151;Mezczyzna;Rolnictwo;21600;Licencjat;Jesien 89
152;Kobieta;Inzynieria;33600;Licencjat;Jesien 89
153;Mezczyzna;Inzynieria;32600;Licencjat;Jesien 89
154;Kobieta;Rolnictwo;14600;Licencjat;Jesien 89
155;Mezczyzna;Administracja;23000;Licencjat;Jesien 89
156;Mezczyzna;Budownictwo;30000;Licencjat;Jesien 89
157;Kobieta;Rolnictwo;24000;Licencjat;Jesien 89
158;Kobieta;Rolnictwo;30800;Licencjat;Jesien 89
159;Mezczyzna;Administracja;32000;Licencjat;Jesien 89
160;Kobieta;Administracja;20000;Licencjat;Jesien 89
161;Mezczyzna;Inzynieria;32000;Licencjat;Jesien 89
162;Mezczyzna;Administracja;19500;Licencjat;Jesien 89
163;Mezczyzna;Administracja;26000;Licencjat;Jesien 89
164;Kobieta;Rolnictwo;21000;Licencjat;Jesien 89
165;Mezczyzna;Administracja;22500;Licencjat;Jesien 89
166;Kobieta;Administracja;20000;Licencjat;Jesien 89
167;Kobieta;Inzynieria;30600;Licencjat;Jesien 89
168;Mezczyzna;Inzynieria;37200;Licencjat;Jesien 89
169;Mezczyzna;Rolnictwo;19000;Licencjat;Jesien 89
170;Mezczyzna;Inzynieria;34000;Licencjat;Jesien 89
171;Mezczyzna;Rolnictwo;20100;Licencjat;Jesien 89
172;Mezczyzna;Inzynieria;33000;Licencjat;Jesien 89
173;Mezczyzna;Rolnictwo;14400;Licencjat;Jesien 89
174;Mezczyzna;Inzynieria;20000;Licencjat;Jesien 89
175;Mezczyzna;Administracja;21000;Licencjat;Jesien 89
176;Mezczyzna;Inzynieria;31700;Licencjat;Jesien 89
177;Kobieta;Administracja;23000;Licencjat;Jesien 89
178;Kobieta;Rolnictwo;17000;Licencjat;Jesien 89
179;Kobieta;Inzynieria;29500;Licencjat;Jesien 89
180;Kobieta;Administracja;28500;Licencjat;Jesien 89
181;Mezczyzna;Budownictwo;27600;Licencjat;Jesien 89
182;Kobieta;Architektura;25000;Licencjat;Jesien 89
183;Mezczyzna;Administracja;25000;Licencjat;Jesien 89
184;Kobieta;Administracja;25500;Licencjat;Jesien 89
185;Mezczyzna;Rolnictwo;21000;Licencjat;Jesien 89
186;Mezczyzna;Rolnictwo;24000;Licencjat;Jesien 89
187;Kobieta;Rolnictwo;30200;Licencjat;Jesien 89
188;Kobieta;Inzynieria;32000;Licencjat;Jesien 89
189;Mezczyzna;Administracja;20000;Licencjat;Jesien 89
190;Mezczyzna;Inzynieria;35000;Licencjat;Jesien 89
191;Mezczyzna;Rolnictwo;21000;Licencjat;Jesien 89
192;Mezczyzna;Rolnictwo;22000;Licencjat;Jesien 89
193;Mezczyzna;Inzynieria;34000;Licencjat;Jesien 89
194;Kobieta;Rolnictwo;20000;Licencjat;Jesien 89
195;Kobieta;Inzynieria;8500;Licencjat;Jesien 89
196;Mezczyzna;Rolnictwo;15000;Licencjat;Jesien 89
197;Mezczyzna;Budownictwo;29100;Licencjat;Jesien 89
198;Kobieta;Administracja;26000;Licencjat;Jesien 89
199;Mezczyzna;Administracja;28500;Licencjat;Jesien 89
200;Mezczyzna;Inzynieria;33600;Licencjat;Jesien 89
201;Mezczyzna;Budownictwo;27000;Licencjat;Jesien 89
202;Mezczyzna;Administracja;29000;Licencjat;Jesien 89
203;Kobieta;Administracja;27600;Licencjat;Jesien 89
204;Mezczyzna;Budownictwo;21000;Licencjat;Jesien 89
205;Mezczyzna;Administracja;28500;Licencjat;Jesien 89
206;Kobieta;Administracja;23000;Licencjat;Jesien 89
207;Mezczyzna;Budownictwo;26000;Licencjat;Jesien 89
208;Mezczyzna;Administracja;43000;Licencjat;Jesien 89
209;Kobieta;Rolnictwo;19000;Licencjat;Jesien 89
210;Mezczyzna;Inzynieria;33500;Licencjat;Jesien 89
211;Mezczyzna;Inzynieria;32000;Licencjat;Jesien 89
212;Kobieta;Rolnictwo;30400;Licencjat;Jesien 89
213;Kobieta;Rolnictwo;21500;Licencjat;Jesien 89
214;Kobieta;Rolnictwo;9000;Licencjat;Jesien 89
215;Mezczyzna;Rolnictwo;29000;Licencjat;Jesien 89
216;Mezczyzna;Administracja;25025;Licencjat;Jesien 89
217;Mezczyzna;Inzynieria;31000;Licencjat;Jesien 89
218;Mezczyzna;Administracja;26000;Licencjat;Jesien 89
219;Kobieta;Rolnictwo;22100;Licencjat;Jesien 89
220;Mezczyzna;Administracja;18000;Licencjat;Jesien 89
221;Kobieta;Administracja;26000;Licencjat;Jesien 89
222;Mezczyzna;Administracja;25000;Licencjat;Jesien 89
223;Mezczyzna;Rolnictwo;24000;Licencjat;Jesien 89
224;Kobieta;Rolnictwo;17000;Licencjat;Jesien 89
225;Kobieta;Inzynieria;26800;Licencjat;Jesien 89
226;Mezczyzna;Rolnictwo;21000;Licencjat;Jesien 89
227;Kobieta;Inzynieria;25500;Licencjat;Jesien 89
228;Mezczyzna;Inzynieria;26500;Licencjat;Jesien 89
229;Kobieta;Inzynieria;32100;Licencjat;Jesien 89
230;Kobieta;Rolnictwo;26000;Licencjat;Jesien 89
231;Kobieta;Rolnictwo;18500;Licencjat;Jesien 89
232;Kobieta;Inzynieria;35500;Licencjat;Jesien 89
233;Mezczyzna;Administracja;29000;Licencjat;Jesien 89
234;Mezczyzna;Administracja;28000;Licencjat;Jesien 89
235;Mezczyzna;Inzynieria;44000;Licencjat;Jesien 89
236;Mezczyzna;Inzynieria;31200;Licencjat;Jesien 89
237;Mezczyzna;Administracja;20800;Licencjat;Jesien 89
238;Mezczyzna;Rolnictwo;30100;Licencjat;Jesien 89
239;Kobieta;Administracja;22500;Licencjat;Jesien 89
240;Mezczyzna;Rolnictwo;28700;Licencjat;Jesien 89
241;Kobieta;Rolnictwo;15600;Licencjat;Jesien 89
242;Kobieta;Rolnictwo;12000;Licencjat;Jesien 89
243;Kobieta;Administracja;20000;Licencjat;Jesien 89
244;Mezczyzna;Inzynieria;32000;Licencjat;Jesien 89
245;Mezczyzna;Administracja;22000;Licencjat;Jesien 89
246;Kobieta;Inzynieria;34000;Licencjat;Jesien 89
247;Kobieta;Pedagogika;22000;Licencjat;Jesien 89
248;Mezczyzna;Administracja;22500;Licencjat;Jesien 89
249;Kobieta;Administracja;23000;Licencjat;Jesien 89
250;Mezczyzna;Administracja;25900;Licencjat;Jesien 89
251;Mezczyzna;Administracja;25000;Licencjat;Jesien 89
252;Mezczyzna;Administracja;22000;Licencjat;Jesien 89
253;Mezczyzna;Inzynieria;28300;Licencjat;Jesien 89
254;Mezczyzna;Rolnictwo;22500;Licencjat;Jesien 89
255;Mezczyzna;Administracja;22000;Licencjat;Jesien 89
256;Mezczyzna;Administracja;19000;Licencjat;Jesien 89
257;Kobieta;Rolnictwo;22500;Licencjat;Jesien 89
258;Mezczyzna;Administracja;22000;Licencjat;Jesien 89
259;Kobieta;Rolnictwo;22000;Licencjat;Wiosna 90
260;Mezczyzna;Budownictwo;27500;Licencjat;Wiosna 90
261;Mezczyzna;Rolnictwo;20000;Licencjat;Wiosna 90
262;Mezczyzna;Administracja;35000;Licencjat;Wiosna 90
263;Mezczyzna;Inzynieria;21100;Licencjat;Wiosna 90
264;Kobieta;Inzynieria;28500;Licencjat;Wiosna 90
265;Mezczyzna;Rolnictwo;16300;Licencjat;Wiosna 90
266;Mezczyzna;Inzynieria;27400;Licencjat;Wiosna 90
267;Kobieta;Rolnictwo;24000;Licencjat;Wiosna 90
268;Mezczyzna;Inzynieria;36600;Licencjat;Wiosna 90
269;Mezczyzna;Rolnictwo;19200;Licencjat;Wiosna 90
270;Kobieta;Rolnictwo;20000;Licencjat;Wiosna 90
271;Kobieta;Rolnictwo;45000;Licencjat;Wiosna 90
272;Kobieta;Budownictwo;26400;Licencjat;Wiosna 90
273;Kobieta;Rolnictwo;24700;Licencjat;Wiosna 90
274;Mezczyzna;Inzynieria;28000;Licencjat;Wiosna 90
275;Mezczyzna;Administracja;15000;Licencjat;Wiosna 90
276;Kobieta;Rolnictwo;44000;Licencjat;Wiosna 90
277;Mezczyzna;Rolnictwo;16000;Licencjat;Wiosna 90
278;Kobieta;Administracja;28800;Licencjat;Wiosna 90
279;Kobieta;Rolnictwo;28000;Licencjat;Wiosna 90
280;Mezczyzna;Administracja;29000;Licencjat;Wiosna 90
281;Kobieta;Administracja;29500;Licencjat;Wiosna 90
282;Mezczyzna;Inzynieria;38500;Licencjat;Wiosna 90
283;Kobieta;Rolnictwo;25000;Licencjat;Wiosna 90
284;Kobieta;Inzynieria;36200;Licencjat;Wiosna 90
285;Mezczyzna;Administracja;21000;Licencjat;Wiosna 90
286;Kobieta;Administracja;32500;Licencjat;Wiosna 90
287;Mezczyzna;Inzynieria;31800;Licencjat;Wiosna 90
288;Mezczyzna;Budownictwo;27100;Licencjat;Wiosna 90
289;Mezczyzna;Rolnictwo;10000;Licencjat;Wiosna 90
290;Mezczyzna;Inzynieria;32200;Licencjat;Wiosna 90
291;Kobieta;Administracja;28000;Licencjat;Wiosna 90
292;Kobieta;Administracja;20000;Licencjat;Wiosna 90
293;Mezczyzna;Administracja;21500;Licencjat;Wiosna 90
294;Mezczyzna;Administracja;22000;Licencjat;Wiosna 90
295;Mezczyzna;Rolnictwo;24000;Licencjat;Wiosna 90
296;Mezczyzna;Administracja;29000;Licencjat;Wiosna 90
297;Kobieta;Administracja;40000;Licencjat;Wiosna 90
298;Mezczyzna;Administracja;21000;Licencjat;Wiosna 90
299;Mezczyzna;Administracja;40000;Licencjat;Wiosna 90
300;Mezczyzna;Inzynieria;33000;Licencjat;Wiosna 90
301;Mezczyzna;Inzynieria;25600;Licencjat;Wiosna 90
302;Mezczyzna;Inzynieria;33000;Licencjat;Wiosna 90
303;Mezczyzna;Administracja;24000;Licencjat;Wiosna 90
304;Kobieta;Rolnictwo;27600;Licencjat;Wiosna 90
305;Kobieta;Administracja;29000;Licencjat;Wiosna 90
306;Kobieta;Rolnictwo;29900;Licencjat;Wiosna 90
307;Mezczyzna;Administracja;20000;Licencjat;Wiosna 90
308;Kobieta;Rolnictwo;18000;Licencjat;Wiosna 90
309;Mezczyzna;Administracja;22000;Licencjat;Wiosna 90
310;Mezczyzna;Inzynieria;33000;Licencjat;Wiosna 90
311;Kobieta;Rolnictwo;23000;Licencjat;Wiosna 90
312;Kobieta;Rolnictwo;27300;Licencjat;Wiosna 90
313;Kobieta;Administracja;23000;Licencjat;Wiosna 90
314;Kobieta;Administracja;28000;Licencjat;Wiosna 90
315;Kobieta;Rolnictwo;25000;Licencjat;Wiosna 90
316;Mezczyzna;Administracja;13000;Licencjat;Wiosna 90
317;Kobieta;Administracja;20000;Licencjat;Wiosna 90
318;Mezczyzna;Inzynieria;30000;Licencjat;Wiosna 90
319;Mezczyzna;Inzynieria;33200;Licencjat;Wiosna 90
320;Kobieta;Administracja;24000;Licencjat;Wiosna 90
321;Kobieta;Rolnictwo;22000;Licencjat;Wiosna 90
322;Mezczyzna;Administracja;25000;Licencjat;Wiosna 90
323;Mezczyzna;Inzynieria;29100;Licencjat;Wiosna 90
324;Mezczyzna;Administracja;27600;Licencjat;Wiosna 90
325;Mezczyzna;Inzynieria;30600;Licencjat;Wiosna 90
326;Mezczyzna;Administracja;24000;Licencjat;Wiosna 90
327;Mezczyzna;Rolnictwo;47000;Licencjat;Wiosna 90
328;Mezczyzna;Inzynieria;25000;Licencjat;Wiosna 90
329;Mezczyzna;Budownictwo;28000;Licencjat;Wiosna 90
330;Kobieta;Rolnictwo;27000;Licencjat;Wiosna 90
331;Mezczyzna;Inzynieria;35000;Licencjat;Wiosna 90
332;Kobieta;Administracja;26000;Licencjat;Wiosna 90
333;Kobieta;Rolnictwo;24600;Licencjat;Wiosna 90
334;Kobieta;Rolnictwo;17000;Licencjat;Wiosna 90
335;Mezczyzna;Administracja;28500;Licencjat;Wiosna 90
336;Kobieta;Rolnictwo;22000;Licencjat;Wiosna 90
337;Mezczyzna;Inzynieria;32000;Licencjat;Wiosna 90
338;Kobieta;Inzynieria;30000;Licencjat;Wiosna 90
339;Mezczyzna;Rolnictwo;25500;Licencjat;Wiosna 90
340;Kobieta;Administracja;19000;Licencjat;Wiosna 90
341;Mezczyzna;Inzynieria;12000;Licencjat;Wiosna 90
342;Kobieta;Rolnictwo;12600;Licencjat;Wiosna 90
343;Kobieta;Pedagogika;25500;Licencjat;Wiosna 90
344;Mezczyzna;Inzynieria;26300;Licencjat;Wiosna 90
345;Kobieta;Administracja;21000;Licencjat;Wiosna 90
346;Mezczyzna;Inzynieria;31000;Licencjat;Wiosna 90
347;Kobieta;Rolnictwo;25000;Licencjat;Wiosna 90
348;Mezczyzna;Administracja;30000;Licencjat;Wiosna 90
349;Mezczyzna;Inzynieria;26400;Licencjat;Wiosna 90
350;Mezczyzna;Inzynieria;31500;Licencjat;Wiosna 90
351;Mezczyzna;Inzynieria;32400;Licencjat;Wiosna 90
352;Mezczyzna;Administracja;24000;Licencjat;Wiosna 90
353;Mezczyzna;Rolnictwo;24000;Licencjat;Wiosna 90
354;Mezczyzna;Inzynieria;33600;Licencjat;Wiosna 90
355;Kobieta;Rolnictwo;20000;Licencjat;Wiosna 90
356;Mezczyzna;Budownictwo;28000;Licencjat;Wiosna 90
357;Mezczyzna;Rolnictwo;25200;Licencjat;Wiosna 90
358;Mezczyzna;Rolnictwo;20000;Licencjat;Wiosna 90
359;Mezczyzna;Rolnictwo;23000;Licencjat;Wiosna 90
360;Mezczyzna;Inzynieria;31500;Licencjat;Wiosna 90
361;Kobieta;Administracja;27500;Licencjat;Wiosna 90
362;Mezczyzna;Inzynieria;35400;Licencjat;Wiosna 90
363;Kobieta;Administracja;28000;Licencjat;Wiosna 90
364;Mezczyzna;Budownictwo;24500;Licencjat;Wiosna 90
365;Mezczyzna;Inzynieria;33800;Licencjat;Wiosna 90
366;Kobieta;Administracja;27000;Licencjat;Wiosna 90
367;Mezczyzna;Inzynieria;30600;Licencjat;Wiosna 90
368;Mezczyzna;Inzynieria;34200;Licencjat;Wiosna 90
369;Mezczyzna;Budownictwo;28000;Licencjat;Wiosna 90
370;Mezczyzna;Inzynieria;30900;Licencjat;Wiosna 90
371;Kobieta;Rolnictwo;31200;Licencjat;Wiosna 90
372;Mezczyzna;Inzynieria;31200;Licencjat;Wiosna 90
373;Kobieta;Rolnictwo;24000;Licencjat;Wiosna 90
374;Mezczyzna;Inzynieria;35200;Licencjat;Wiosna 90
375;Mezczyzna;Inzynieria;26300;Licencjat;Wiosna 90
376;Kobieta;Inzynieria;33000;Licencjat;Wiosna 90
377;Kobieta;Administracja;25000;Licencjat;Wiosna 90
378;Kobieta;Inzynieria;34800;Licencjat;Wiosna 90
379;Mezczyzna;Rolnictwo;19500;Licencjat;Wiosna 90
380;Mezczyzna;Rolnictwo;28000;Licencjat;Wiosna 90
381;Kobieta;Budownictwo;30000;Licencjat;Wiosna 90
382;Mezczyzna;Inzynieria;32100;Licencjat;Wiosna 90
383;Mezczyzna;Inzynieria;32400;Licencjat;Wiosna 90
384;Mezczyzna;Administracja;23000;Licencjat;Wiosna 90
385;Mezczyzna;Rolnictwo;17000;Licencjat;Wiosna 90
386;Kobieta;Rolnictwo;30000;Licencjat;Wiosna 90
387;Mezczyzna;Rolnictwo;15000;Licencjat;Wiosna 90
388;Kobieta;Rolnictwo;13000;Licencjat;Wiosna 90
389;Mezczyzna;Administracja;25000;Licencjat;Wiosna 90
390;Mezczyzna;Rolnictwo;20000;Licencjat;Wiosna 90
391;Kobieta;Administracja;23000;Licencjat;Wiosna 90
392;Mezczyzna;Inzynieria;30700;Licencjat;Wiosna 90
393;Mezczyzna;Administracja;20000;Licencjat;Wiosna 90
394;Kobieta;Pedagogika;26000;Licencjat;Wiosna 90
395;Mezczyzna;Inzynieria;33000;Licencjat;Wiosna 90
396;Kobieta;Budownictwo;36400;Licencjat;Wiosna 90
397;Kobieta;Administracja;19000;Licencjat;Wiosna 90
398;Kobieta;Administracja;20000;Licencjat;Wiosna 90
399;Mezczyzna;Budownictwo;28100;Licencjat;Wiosna 90
400;Mezczyzna;Architektura;23200;Licencjat;Wiosna 90
401;Mezczyzna;Rolnictwo;20000;Licencjat;Wiosna 90
402;Mezczyzna;Architektura;12000;Licencjat;Wiosna 90
403;Kobieta;Rolnictwo;18000;Licencjat;Wiosna 90
404;Mezczyzna;Inzynieria;31500;Licencjat;Wiosna 90
405;Kobieta;Rolnictwo;16000;Licencjat;Wiosna 90
406;Mezczyzna;Administracja;42000;Licencjat;Wiosna 90
407;Mezczyzna;Inzynieria;36400;Licencjat;Wiosna 90
408;Kobieta;Rolnictwo;20000;Licencjat;Wiosna 90
409;Mezczyzna;Rolnictwo;30000;Licencjat;Wiosna 90
410;Kobieta;Rolnictwo;20000;Licencjat;Wiosna 90
411;Mezczyzna;Administracja;33500;Licencjat;Wiosna 90
412;Mezczyzna;Rolnictwo;15000;Licencjat;Wiosna 90
413;Kobieta;Rolnictwo;27000;Licencjat;Wiosna 90
414;Mezczyzna;Administracja;27000;Licencjat;Wiosna 90
415;Kobieta;Administracja;27000;Licencjat;Wiosna 90
416;Mezczyzna;Rolnictwo;17000;Licencjat;Wiosna 90
417;Kobieta;Rolnictwo;20000;Licencjat;Wiosna 90
418;Mezczyzna;Budownictwo;28000;Licencjat;Wiosna 90
419;Kobieta;Rolnictwo;17000;Licencjat;Wiosna 90
420;Mezczyzna;Budownictwo;27000;Licencjat;Wiosna 90
421;Mezczyzna;Inzynieria;8400;Licencjat;Wiosna 90
422;Kobieta;Rolnictwo;27900;Licencjat;Wiosna 90
423;Mezczyzna;Budownictwo;25000;Licencjat;Wiosna 90
424;Mezczyzna;Administracja;17000;Licencjat;Wiosna 90
425;Mezczyzna;Inzynieria;36000;Licencjat;Wiosna 90
426;Mezczyzna;Inzynieria;27500;Licencjat;Wiosna 90
427;Kobieta;Rolnictwo;30000;Licencjat;Wiosna 90
428;Mezczyzna;Inzynieria;25500;Licencjat;Wiosna 90
429;Mezczyzna;Rolnictwo;16600;Licencjat;Wiosna 90
430;Kobieta;Administracja;23000;Licencjat;Wiosna 90
