Classifier,Folds,Repeats,Confusion Matrix,Mean Accuracy,Mean TPrate,Mean TNrate,Mean GMean,Mean AUC
MultilayerPerceptron,10,5,"[[1328.6   33.4]
 [ 163.6   55.4]]",87.5395,0.253,0.9755,0.3043,0.8104
NaiveBayes,10,5,"[[1316.4   45.6]
 [ 150.2   68.8]]",87.6154,0.3142,0.9665,0.351,0.8228
ZeroRule,15,1,"[[1362.    0.]
 [ 219.    0.]]",86.148,0.0,1.0,0.0,0.4909
JRip,15,1,"[[1321.   41.]
 [ 156.   63.]]",87.5395,0.2877,0.9699,0.3304,0.6108
J48,15,1,"[[1343.   19.]
 [ 173.   46.]]",87.8558,0.21,0.986,0.2782,0.7815
SMO,15,1,"[[1358.    4.]
 [ 202.   17.]]",86.9703,0.0776,0.9971,0.1203,0.5373
MultilayerPerceptron,15,1,"[[1334.   28.]
 [ 166.   53.]]",87.7293,0.242,0.9794,0.3011,0.807
NaiveBayes,15,1,"[[1318.   44.]
 [ 150.   69.]]",87.7293,0.3151,0.9677,0.3548,0.8222
ZeroRule,15,3,"[[1362.    0.]
 [ 219.    0.]]",86.148,0.0,1.0,0.0,0.4909
JRip,15,3,"[[1322.   40.]
 [ 156.   63.]]",87.6028,0.2877,0.9706,0.332,0.615
J48,15,3,"[[1342.3333   19.6667]
 [ 173.6667   45.3333]]",87.7715,0.207,0.9856,0.2732,0.7789
SMO,15,3,"[[1358.    4.]
 [ 202.   17.]]",86.9703,0.0776,0.9971,0.1203,0.5373
MultilayerPerceptron,15,3,"[[1336.6667   25.3333]
 [ 166.6667   52.3333]]",87.8558,0.239,0.9814,0.3022,0.8083
NaiveBayes,15,3,"[[1319.       43.    ]
 [ 150.6667   68.3333]]",87.7504,0.312,0.9684,0.3533,0.8219
ZeroRule,15,5,"[[1362.    0.]
 [ 219.    0.]]",86.148,0.0,1.0,0.0,0.4909
JRip,15,5,"[[1321.8   40.2]
 [ 155.    64. ]]",87.6534,0.2922,0.9705,0.3366,0.6168
J48,15,5,"[[1343.2   18.8]
 [ 173.8   45.2]]",87.8178,0.2064,0.9862,0.2739,0.779
SMO,15,5,"[[1358.    4.]
 [ 202.   17.]]",86.9703,0.0776,0.9971,0.1203,0.5373
MultilayerPerceptron,15,5,"[[1334.6   27.4]
 [ 166.    53. ]]",87.7672,0.242,0.9799,0.3021,0.8122
NaiveBayes,15,5,"[[1319.    43. ]
 [ 150.6   68.4]]",87.7546,0.3123,0.9684,0.3537,0.8216
